Annaki,Cold-Blooded,Special Saver
Enperry,Sub Power Up,Ink Resistance Up
Firefin,Ink Saver (Sub),Ink Recovery Up
Forge,Special Power Up,Ink Saver (Sub)
Inkline,Bomb Defense Up,Cold-Blooded
Krak-On,Swim Speed Up,Bomb Defense Up
Rockenberg,Run Speed Up,Swim Speed Up
Skalop,Quick Respawn,Special Saver
Splash Mob,Ink Saver (Main),Run Speed Up
Squid Force,Ink Resistance Up,Ink Saver (Main)
Takoroka,Special Charge Up,Special Power Up
Tentatek,Ink Recovery Up,Quick Super Jump
Toni Kensa,Cold-Blooded,Sub Power Up
Zekko,Special Saver,Special Charge Up
Zink,Quick Super Jump,Quick Respawn
Grizzco,---,---
Cuttlegear,---,---
Amiibo,---,---